Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Unique Received From Addresses,min value received,max value received ,avg val received,min val sent,avg val sent,total transactions (including tnx to create contract,total ether received,total ether balance
0x1f91d2d3ff8ce66dd75ab221f370c71c431dd659,1,333.22,1836.33,157384.67,66,0.018293008,1.6095845,0.264718367,0.00900743,0.335513251,134,19.85387751,0.058595721
0x4684d57d2fe38b7990d6d82760922da0928e4eda,1,0.0,269.5,206082.3,10,0.088038,2.0302830000000003,0.79067,7.905838,7.905838,11,7.90669912,0.0008609999999999
0x570208193f67c138ba3dd60a3aee9b0fa9d574c2,0,6180.19,3503.34,551924.28,14,0.002108,15.0,3.704406,0.0,1.856308,101,100.0189594,-37.34786957
0x5ffc014343cd971b7eb70732021e26c35b744cc4,0,0.0,47.6,475945.68,4594,0.0,0.1034,6.9e-05,0.0,0.0,10000,0.692555679,0.692555679
0x6ce81b6206a73dc33f7635942905fdb3fd1e21bf,0,0.0,1955.01,226781.43,3,0.0,0.463344,0.233199,0.0,0.0,117,27.05109265,27.05109265
0x000d63fc5df52b0204374c2f5a3249779805d5d1,0,69.46,629.44,8660.35,9,0.049,2.65,1.098115,0.009457,0.482496,36,12.079266,0.016871896
0x13e3a8bcab20ff841c27b36e39310a7336c9ae3e,0,16.56,8212.09,222173.65,3,0.2,0.530836,0.214023,0.199404,0.213549,54,5.778618239,0.012805943
0x36d9b8d8079a9c1acf7ba9988cb4017c616bff26,0,0.0,0.0,537.6,1,1.99,1.99,1.99,1.989748,1.989748,2,1.99,0.00025202
0x4ba4c054afe38d5ed7dde6acc90f819ce16c3350,0,0.0,0.0,2.4,1,22.0,22.0,22.0,21.99938,21.99938,2,22.0,0.00062
0x76d9ea79bcec084d2d6e412b4465fa213437fe5d,0,24.47,0.45,74.32,2,32.516868,68.483132,50.5,1.135513,33.666160999999995,5,101.0,0.001517096
0x20425bf68096f70f578b93e41e7bd12b427ee92e,0,2090.66,2902.39,24965.25,5,2.180443,18.999528,9.672877,0.2,9.671949,10,48.36438509,0.0046406
0xb49bfae673da15a82a13a0968543002ed50b16dd,0,0.0,666.82,748839.17,10,0.0,34.746,1.530984,0.0,0.0,1124,1719.295158,1719.295158
0xace1dce9a853bdbf5e20158b55d82e690d1e964a,0,0.0,4097.89,192600.63,3,0.0,0.450981,0.275918,0.0,0.0,48,12.96812576,12.96812576
0xd4364d515103170d47149bca6512645ccb981069,1,1622.01,618.39,205355.78,264,0.000496,1.207,0.0882069750541516,0.00880231,1.163067272856905,298,24.43333209,0.008919360004998
0xf3a6f2796d5b16f658431bd7a19087a37ea9fafb,1,3483.35,11672.82,573673.87,35,0.000441,0.2791,0.046091,0.012929,0.052099,73,1.797542099,0.02618364
0x4060b8fd58cb148a1ced150b36392bd2968c5267,0,495.25,12862.78,1010752.82,10,0.002353,1.002364,0.1547349999999999,0.005522,0.175093,143,11.75988645,0.028641276
0x9ebe6cc2f452c77bb5a7d02d1150a450059e2fc4,0,39340.24,9441.54,273807.62,4,0.199849,0.42,0.275376,0.0025,0.183013,10,1.1015035009999998,0.003423
0x564f776eb4d4461b93cfbce288fd289a94a0aa21,0,77025.79,3194.35,423461.22,2,0.1,100.0,47.591667,0.098152,114.219105,17,571.1,0.00447285
0x8042980dbae8dde334b16df3870014c7bbd62ed6,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0xcdba82888e4698c485abacf8c7ad87dc2221f378,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x4d0a1e823e0b20e1a194d1775870a29bfbcc00e1,0,1.85,0.42,8.25,2,830.070817,1170.929183,1000.5,0.001078,500.249528,6,2001.0,0.001886545
0xfd2a63d44ff0799dc0dad7dcce74b4ac4bec2528,1,0.0,273.63,10163.13,5,0.5,5.0,1.6570619999999998,8.28445,8.28445,6,8.28531132,0.0008609999999999
0xe1358ae1a9130bc458c8021fcbb7ef8aedd51487,1,0.0,34674.11,173370.53,3,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0
